sequence, source_id, remove, notes1, notes2
seq01, 40348540397254, 1, ,
seq01, 40348560459572, 1, ,
seq01, 40348560131057, 0, ,
seq01, 40348560175761, 1, ,
seq01, 40348560312958, 1, ,
seq01, 40348560334637, 1, ,
seq01, 40348560212900, 1, ,
seq01, 40348560082415, 1, ,
seq01, 40348560316392, 1, ,
seq01, 40348560072830, 0, ,
seq01, 40348560189935, 1, ,
seq01, 40348560239309, 1, ,
seq01, 40348560239294, 1, ,
seq01, 40348560212653, 0, ,
seq01, 40348560141104, 1, ,
seq03, 40349360009353, 1, ,
seq03, 40349380007658, 0, best,
seq04, 40349440012079, 0, ,
seq04, 40349480002665, 1, ,
seq04, 40349500024588, 1, ,
seq04, 40349500056603, 0, ,
seq05, 40349680015123, 1, ,
seq05, 40349680026612, 1, ,
seq05, 40349700006822, 1, ,
seq05, 40349740013373, 1, ,
seq07, 40350920195248, 1, ,
seq07, 40350940122081, 1, ,
seq09, 40351330140141, 0, best,
seq09, 40351330436767, 1, ,
seq09, 40351350534467, 1, ,
seq09, 40351350086486, 1, ,
seq10, 40351410210537, 1, ,
seq10, 40351410318207, 1, ,
seq10, 40351410109832, 1, ,
seq10, 40351410077425, 1, ,
seq10, 40351410151002, 1, ,
seq10, 40351410012952, 0, ,
seq10, 40351410315110, 1, ,
seq11, 40351520017054, 1, ,
seq11, 40351520303985, 1, ,
seq11, 40351520226898, 0, ,
seq11, 40351520117930, 1, ,
seq11, 40351520164399, 1, ,
seq11, 40351540434033, 1, ,
seq12, 40351620085092, 1, ,
seq12, 40351620232959, 1, ,
seq12, 40351640096563, 1, ,
seq12, 40351640118488, 1, ,
seq12, 40351640195271, 1, ,
seq12, 40351640180535, 1, ,
seq13, 40345410041464, 0, ,
seq13, 40345410035448, 1, ,
seq13, 40345410012113, 0, ,
seq13, 40345410041385, 1, ,
seq13, 40345410022470, 1, ,
seq13, 40345410025335, 1, ,
seq13, 40345410022588, 1, ,
seq15, 40346700057240, 1, ,
seq15, 40346700057432, 1, ,
seq15, 40346700032997, 1, ,
seq15, 40346700053600, 0, ,
seq15, 40346700053789, 1, ,
seq15, 40346700038798, 1, ,
seq15, 40346700054403, 0, ,
seq15, 40346700055160, 1, ,
seq15, 40346700039951, 1, ,
seq15, 40346700030801, 1, ,
seq15, 40346700055812, 1, ,
seq15, 40346700052202, 1, ,
seq15, 40346700031922, 1, ,
seq16, 40346780023313, 1, ,
seq16, 40346780028072, 1, ,
seq16, 40346780009967, 1, ,
seq16, 40346780012245, 1, ,
seq16, 40346780004898, 1, ,
seq16, 40346780015780, 0, ,
seq16, 40346780009676, 1, ,
seq16, 40346780005643, 1, ,
seq16, 40346780009905, 0, ,
seq16, 40346780023911, 1, ,
seq16, 40346780011561, 0, ,
seq17, 40347080018227, 1, ,
seq17, 40347080007262, 1, ,
seq17, 40347080017951, 0, ,
seq17, 40347080017261, 0, ,
seq17, 40347080025593, 0, ,
seq17, 40347080026569, 1, ,
seq17, 40347080029812, 1, ,
seq17, 40347080033996, 0, ,
seq17, 40347080025781, 0, ,
seq17, 40347080024693, 1, ,
seq17, 40347080024317, 0, ,
