sequence, source_id, remove, notes1, notes2
seq01, 40528680013079, 1, ,
seq01, 40528680022050, 1, ,
seq01, 40528680017767, 1, ,
seq01, 40528680011143, 1, ,
seq01, 40528680021914, 1, ,
seq01, 40528680011021, 0, ,
seq01, 40528680010339, 1, ,
seq01, 40528680024172, 1, ,
seq01, 40528680017817, 1, ,
seq01, 40528680023945, 1, ,
seq01, 40528680019111, 0, ,
seq01, 40528680014221, 0, ,
seq01, 40528680023802, 0, ,
seq01, 40528680010239, 1, ,
seq01, 40528680003335, 1, ,
seq01, 40528680015391, 0, ,
seq01, 40528680007223, 0, ,
seq01, 40528680009484, 1, ,
seq01, 40528680011033, 1, ,
seq01, 40528690010193, 0, ,
seq01, 40528690015599, 1, ,
seq01, 40528690038198, 0, ,
seq01, 40528690030185, 0, ,
seq01, 40528690030516, 1, ,
seq01, 40528690032938, 1, ,
seq01, 40528690033939, 1, ,
seq01, 40528690020195, 0, ,
seq01, 40528690036593, 1, ,
seq01, 40528690028681, 0, ,
seq01, 40528690029732, 1, ,
seq01, 40528690026716, 1, ,
seq01, 40528690013843, 1, ,
seq01, 40528690040024, 1, ,
seq01, 40528690011722, 1, ,
seq01, 40528690031216, 1, ,
seq01, 40528690030746, 1, ,
seq01, 40528690026830, 0, ,
seq01, 40528690007528, 1, ,
seq01, 40528690031986, 1, ,
seq01, 40528690016740, 1, ,
seq01, 40528690035561, 1, ,
seq01, 40528690011059, 0, ,
seq01, 40528690019802, 0, ,
seq01, 40528690019478, 1, ,
seq01, 40528690019958, 1, ,
seq01, 40528690012231, 0, ,
seq01, 40528690030159, 1, ,
seq01, 40528690008820, 1, ,
seq02, 40528820016158, 1, ,
seq02, 40528820047977, 1, ,
seq03, 40528680013079, 1, ,
seq03, 40528680022050, 0, ,
seq03, 40528680017767, 0, ,
seq03, 40528680011143, 1, ,
seq03, 40528680021914, 1, ,
seq03, 40528680011021, 1, ,
seq03, 40528680010339, 1, ,
seq03, 40528680024172, 1, ,
seq03, 40528680005741, 1, ,
seq03, 40528680017817, 1, ,
seq03, 40528680023945, 1, ,
seq03, 40528680019111, 1, ,
seq03, 40528680014221, 0, ,
seq03, 40528680023802, 1, ,
seq03, 40528680010239, 1, ,
seq03, 40528680003335, 1, ,
seq03, 40528680009729, 0, ,
seq03, 40528680015391, 1, ,
seq03, 40528680007223, 1, ,
seq03, 40528680011033, 1, ,
seq04, 40528690010193, 0, ,
seq04, 40528690015599, 1, ,
seq04, 40528690038198, 0, ,
seq04, 40528690030185, 0, ,
seq04, 40528690030516, 1, ,
seq04, 40528690032938, 1, ,
seq04, 40528690033939, 1, ,
seq04, 40528690020195, 0, ,
seq04, 40528690036593, 1, ,
seq04, 40528690029559, 1, ,
seq04, 40528690028681, 0, ,
seq04, 40528690029732, 1, ,
seq04, 40528690026716, 1, ,
seq04, 40528690013843, 1, ,
seq04, 40528690040024, 1, ,
seq04, 40528690011722, 1, ,
seq04, 40528690031216, 1, ,
seq04, 40528690014934, 0, ,
seq04, 40528690038328, 0, ,
seq04, 40528690026830, 1, ,
seq04, 40528690022493, 1, ,
seq04, 40528690007528, 1, ,
seq04, 40528690031986, 0, ,
seq04, 40528690016740, 0, ,
seq04, 40528690035561, 1, ,
seq04, 40528690033952, 0, ,
seq04, 40528690038802, 1, ,
seq04, 40528690011059, 0, ,
seq04, 40528690019802, 0, ,
seq04, 40528690033528, 1, ,
seq04, 40528690019478, 0, ,
seq04, 40528690019958, 1, ,
seq04, 40528690039184, 1, ,
seq04, 40528690030159, 1, ,
seq04, 40528690008820, 1, ,
seq05, 40528700023982, 1, ,
seq05, 40528700029741, 1, ,
seq05, 40528700015930, 1, ,
seq05, 40528700005484, 1, ,
seq05, 40528700007607, 1, ,
seq05, 40528700026545, 1, ,
seq05, 40528700030735, 1, ,
seq05, 40528700027927, 1, ,
seq05, 40528700033767, 1, ,
seq05, 40528700018575, 1, ,
seq05, 40528700011478, 0, ,
seq05, 40528700028744, 1, ,
seq05, 40528700031022, 0, ,
seq05, 40528700030665, 0, ,
seq05, 40528700009164, 1, ,
seq05, 40528700020407, 0, ,
seq05, 40528700030333, 1, ,
seq05, 40528700038101, 0, ,
seq05, 40528700036735, 1, ,
seq05, 40528700018744, 1, ,
